X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,Y
_,n,a,t,u,r,e,_,i,n,_,t,h,e,_,b,r,o,a,d,e,s,t,_,s,e,n,s,e,_,i,s,_,t,h,e,_,n,a,t,u,r,a,l,_,p,h,y,s,i,English
n,a,t,u,r,e,_,c,a,n,_,r,e,f,e,r,_,t,o,_,t,h,e,_,p,h,e,n,o,m,e,n,a,_,o,f,_,t,h,e,_,p,h,y,s,i,c,a,l,_,English
t,h,e,_,s,t,u,d,y,_,o,f,_,n,a,t,u,r,e,_,i,s,_,a,_,l,a,r,g,e,_,i,f,_,n,o,t,_,t,h,e,_,o,n,l,y,_,p,a,r,English
a,l,t,h,o,u,g,h,_,h,u,m,a,n,s,_,a,r,e,_,p,a,r,t,_,o,f,_,n,a,t,u,r,e,_,h,u,m,a,n,_,a,c,t,i,v,i,t,y,_,English
_,t,h,e,_,w,o,r,d,_,n,a,t,u,r,e,_,i,s,_,b,o,r,r,o,w,e,d,_,f,r,o,m,_,t,h,e,_,o,l,d,_,f,r,e,n,c,h,_,n,English
_,i,n,_,a,n,c,i,e,n,t,_,p,h,i,l,o,s,o,p,h,y,_,n,a,t,u,r,a,_,i,s,_,m,o,s,t,l,y,_,u,s,e,d,_,a,s,_,t,h,English
t,h,e,_,c,o,n,c,e,p,t,_,o,f,_,n,a,t,u,r,e,_,a,s,_,a,_,w,h,o,l,e,_,t,h,e,_,p,h,y,s,i,c,a,l,_,u,n,i,v,English
d,u,r,i,n,g,_,t,h,e,_,a,d,v,e,n,t,_,o,f,_,m,o,d,e,r,n,_,s,c,i,e,n,t,i,f,i,c,_,m,e,t,h,o,d,_,i,n,_,t,English
_,w,i,t,h,_,t,h,e,_,i,n,d,u,s,t,r,i,a,l,_,r,e,v,o,l,u,t,i,o,n,_,n,a,t,u,r,e,_,i,n,c,r,e,a,s,i,n,g,l,English
h,o,w,e,v,e,r,_,a,_,v,i,t,a,l,i,s,t,_,v,i,s,i,o,n,_,o,f,_,n,a,t,u,r,e,_,c,l,o,s,e,r,_,t,o,_,t,h,e,_,English
_,w,i,t,h,i,n,_,t,h,e,_,v,a,r,i,o,u,s,_,u,s,e,s,_,o,f,_,t,h,e,_,w,o,r,d,_,t,o,d,a,y,_,n,a,t,u,r,e,_,English
n,a,t,u,r,e,_,c,a,n,_,r,e,f,e,r,_,t,o,_,t,h,e,_,g,e,n,e,r,a,l,_,r,e,a,l,m,_,o,f,_,l,i,v,i,n,g,_,p,l,English
i,t,_,i,s,_,o,f,t,e,n,_,t,a,k,e,n,_,t,o,_,m,e,a,n,_,t,h,e,_,n,a,t,u,r,a,l,_,e,n,v,i,r,o,n,m,e,n,t,_,English
f,o,r,_,e,x,a,m,p,l,e,_,m,a,n,u,f,a,c,t,u,r,e,d,_,o,b,j,e,c,t,s,_,a,n,d,_,h,u,m,a,n,_,i,n,t,e,r,a,c,English
t,h,i,s,_,m,o,r,e,_,t,r,a,d,i,t,i,o,n,a,l,_,c,o,n,c,e,p,t,_,o,f,_,n,a,t,u,r,a,l,_,t,h,i,n,g,s,_,t,h,English
d,e,p,e,n,d,i,n,g,_,o,n,_,t,h,e,_,p,a,r,t,i,c,u,l,a,r,_,c,o,n,t,e,x,t,_,t,h,e,_,t,e,r,m,_,n,a,t,u,r,English
_,e,a,r,t,h,_,i,s,_,t,h,e,_,o,n,l,y,_,p,l,a,n,e,t,_,k,n,o,w,n,_,t,o,_,s,u,p,p,o,r,t,_,l,i,f,e,_,a,n,English
w,i,t,h,i,n,_,t,h,e,_,s,o,l,a,r,_,s,y,s,t,e,m,_,i,t,_,i,s,_,t,h,i,r,d,_,c,l,o,s,e,s,t,_,t,o,_,t,h,e,English
i,t,s,_,m,o,s,t,_,p,r,o,m,i,n,e,n,t,_,c,l,i,m,a,t,i,c,_,f,e,a,t,u,r,e,s,_,a,r,e,_,i,t,s,_,t,w,o,_,l,English
_,p,r,e,c,i,p,i,t,a,t,i,o,n,_,v,a,r,i,e,s,_,w,i,d,e,l,y,_,w,i,t,h,_,l,o,c,a,t,i,o,n,_,f,r,o,m,_,s,e,English
_,p,e,r,c,e,n,t,_,o,f,_,t,h,e,_,e,a,r,t,h,',s,_,s,u,r,f,a,c,e,_,i,s,_,c,o,v,e,r,e,d,_,b,y,_,s,a,l,t,English
t,h,e,_,r,e,m,a,i,n,d,e,r,_,c,o,n,s,i,s,t,s,_,o,f,_,c,o,n,t,i,n,e,n,t,s,_,a,n,d,_,i,s,l,a,n,d,s,_,w,English
e,a,r,t,h,_,h,a,s,_,e,v,o,l,v,e,d,_,t,h,r,o,u,g,h,_,g,e,o,l,o,g,i,c,a,l,_,a,n,d,_,b,i,o,l,o,g,i,c,a,English
t,h,e,_,o,u,t,e,r,_,s,u,r,f,a,c,e,_,i,s,_,d,i,v,i,d,e,d,_,i,n,t,o,_,s,e,v,e,r,a,l,_,g,r,a,d,u,a,l,l,English
t,h,e,_,i,n,t,e,r,i,o,r,_,r,e,m,a,i,n,s,_,a,c,t,i,v,e,_,w,i,t,h,_,a,_,t,h,i,c,k,_,l,a,y,e,r,_,o,f,_,English
t,h,i,s,_,i,r,o,n,_,c,o,r,e,_,i,s,_,c,o,m,p,o,s,e,d,_,o,f,_,a,_,s,o,l,i,d,_,i,n,n,e,r,_,p,h,a,s,e,_,English
c,o,n,v,e,c,t,i,v,e,_,m,o,t,i,o,n,_,i,n,_,t,h,e,_,c,o,r,e,_,g,e,n,e,r,a,t,e,s,_,e,l,e,c,t,r,i,c,_,c,English
t,h,e,_,a,t,m,o,s,p,h,e,r,i,c,_,c,o,n,d,i,t,i,o,n,s,_,h,a,v,e,_,b,e,e,n,_,s,i,g,n,i,f,i,c,a,n,t,l,y,English
d,e,s,p,i,t,e,_,t,h,e,_,w,i,d,e,_,r,e,g,i,o,n,a,l,_,v,a,r,i,a,t,i,o,n,s,_,i,n,_,c,l,i,m,a,t,e,_,b,y,English
_,g,e,o,l,o,g,y,_,i,s,_,t,h,e,_,s,c,i,e,n,c,e,_,a,n,d,_,s,t,u,d,y,_,o,f,_,t,h,e,_,s,o,l,i,d,_,a,n,d,English
t,h,e,_,f,i,e,l,d,_,o,f,_,g,e,o,l,o,g,y,_,e,n,c,o,m,p,a,s,s,e,s,_,t,h,e,_,s,t,u,d,y,_,o,f,_,t,h,e,_,English
t,h,e,_,f,i,e,l,d,_,i,s,_,a,_,m,a,j,o,r,_,a,c,a,d,e,m,i,c,_,d,i,s,c,i,p,l,i,n,e,_,a,n,d,_,i,s,_,a,l,English
t,h,e,_,g,e,o,l,o,g,y,_,o,f,_,a,n,_,a,r,e,a,_,e,v,o,l,v,e,s,_,t,h,r,o,u,g,h,_,t,i,m,e,_,a,s,_,r,o,c,English
r,o,c,k,_,u,n,i,t,s,_,a,r,e,_,f,i,r,s,t,_,e,m,p,l,a,c,e,d,_,e,i,t,h,e,r,_,b,y,_,d,e,p,o,s,i,t,i,o,n,English
d,e,p,o,s,i,t,i,o,n,_,c,a,n,_,o,c,c,u,r,_,w,h,e,n,_,s,e,d,i,m,e,n,t,s,_,s,e,t,t,l,e,_,o,n,t,o,_,t,h,English
i,g,n,e,o,u,s,_,i,n,t,r,u,s,i,o,n,s,_,s,u,c,h,_,a,s,_,b,a,t,h,o,l,i,t,h,s,_,l,a,c,c,o,l,i,t,h,s,_,d,English
a,f,t,e,r,_,t,h,e,_,i,n,i,t,i,a,l,_,s,e,q,u,e,n,c,e,_,o,f,_,r,o,c,k,s,_,h,a,s,_,b,e,e,n,_,d,e,p,o,s,English
d,e,f,o,r,m,a,t,i,o,n,_,t,y,p,i,c,a,l,l,y,_,o,c,c,u,r,s,_,a,s,_,a,_,r,e,s,u,l,t,_,o,f,_,h,o,r,i,z,o,English
t,h,e,s,e,_,s,t,r,u,c,t,u,r,a,l,_,r,e,g,i,m,e,s,_,b,r,o,a,d,l,y,_,r,e,l,a,t,e,_,t,o,_,c,o,n,v,e,r,g,English
e,a,r,t,h,_,i,s,_,e,s,t,i,m,a,t,e,d,_,t,o,_,h,a,v,e,_,f,o,r,m,e,d,_,?,ÿ,b,i,l,l,i,o,n,_,y,e,a,r,s,_,English
_,t,h,e,_,m,o,o,n,_,f,o,r,m,e,d,_,r,o,u,g,h,l,y,_,?,ÿ,m,i,l,l,i,o,n,_,y,e,a,r,s,_,l,a,t,e,r,_,_,_,_,English
i,n,i,t,i,a,l,l,y,_,m,o,l,t,e,n,_,t,h,e,_,o,u,t,e,r,_,l,a,y,e,r,_,o,f,_,t,h,e,_,e,a,r,t,h,_,c,o,o,l,English
o,u,t,g,a,s,s,i,n,g,_,a,n,d,_,v,o,l,c,a,n,i,c,_,a,c,t,i,v,i,t,y,_,p,r,o,d,u,c,e,d,_,t,h,e,_,p,r,i,m,English
c,o,n,d,e,n,s,i,n,g,_,w,a,t,e,r,_,v,a,p,o,r,_,m,o,s,t,_,o,r,_,a,l,l,_,o,f,_,w,h,i,c,h,_,c,a,m,e,_,f,English
_,t,h,e,_,h,i,g,h,l,y,_,e,n,e,r,g,e,t,i,c,_,c,h,e,m,i,s,t,r,y,_,i,s,_,b,e,l,i,e,v,e,d,_,t,o,_,h,a,v,English
_,c,o,n,t,i,n,e,n,t,s,_,f,o,r,m,e,d,_,t,h,e,n,_,b,r,o,k,e,_,u,p,_,a,n,d,_,r,e,f,o,r,m,e,d,_,a,s,_,t,English
r,o,u,g,h,l,y,_,?,ÿ,m,i,l,l,i,o,n,_,y,e,a,r,s,_,a,g,o,_,t,h,e,_,e,a,r,l,i,e,s,t,_,k,n,o,w,n,_,s,u,p,English
t,h,e,_,c,o,n,t,i,n,e,n,t,s,_,l,a,t,e,r,_,r,e,c,o,m,b,i,n,e,d,_,t,o,_,f,o,r,m,_,p,a,n,n,o,t,i,a,_,w,English
_,d,u,r,i,n,g,_,t,h,e,_,n,e,o,p,r,o,t,e,r,o,z,o,i,c,_,e,r,a,_,f,r,e,e,z,i,n,g,_,t,e,m,p,e,r,a,t,u,r,English
t,h,i,s,_,h,y,p,o,t,h,e,s,i,s,_,h,a,s,_,b,e,e,n,_,t,e,r,m,e,d,_,t,h,e,_,s,n,o,w,b,a,l,l,_,e,a,r,t,h,English
_,s,i,n,c,e,_,t,h,e,_,c,a,m,b,r,i,a,n,_,e,x,p,l,o,s,i,o,n,_,t,h,e,r,e,_,h,a,v,e,_,b,e,e,n,_,f,i,v,e,English
_,t,h,e,_,l,a,s,t,_,m,a,s,s,_,e,x,t,i,n,c,t,i,o,n,_,o,c,c,u,r,r,e,d,_,s,o,m,e,_,m,i,l,l,i,o,n,_,y,e,English
o,v,e,r,_,t,h,e,_,p,a,s,t,_,?,ÿ,m,i,l,l,i,o,n,_,y,e,a,r,s,_,m,a,m,m,a,l,i,a,n,_,l,i,f,e,_,d,i,v,e,r,English
_,s,e,v,e,r,a,l,_,m,i,l,l,i,o,n,_,y,e,a,r,s,_,a,g,o,_,a,_,s,p,e,c,i,e,s,_,o,f,_,s,m,a,l,l,_,a,f,r,i,English
